,all-1,all-2,all-3,mLB-1,mLB-2,mLB-3,mLC-1,mLC-2,mLC-3,mLLm1-1,mLLm1-2,mLLm1-3,mLLm2-1,mLLm2-2,mLLm2-3,mST-1,mST-2,mST-3
gene-QMZ82_RS09200,237.9465822,280.2285927,197.5388875,250.3137117,219.8786649,266.8595552,428.6362279,271.9972838,371.3673994,184.2368996,219.2025499,179.7437428,0,0,0,453.0957882,506.2460021,459.4805676
gene-QMZ82_RS09205,13632.01339,9909.334098,9265.569362,7206.578251,7185.45037,7861.823613,19528.09261,13394.42896,19560.46169,1790.969411,1840.631114,1727.330366,0,0,0,16054.12755,17736.93983,16534.6125
gene-QMZ82_RS09210,11.32357461,0,5.957034076,8.800670196,8.910203146,8.552730626,10.54651631,0,0,670.8972451,655.3526388,584.4973101,0,0,0,0,13.33288809,0
gene-QMZ82_RS09215,115.2352678,141.44065,101.0168851,187.3092552,158.8565726,204.3973747,157.2592488,73.03274183,161.2528206,210.6590388,239.6757677,259.8046851,0,0,0,164.8857855,175.1880774,106.0535334
gene-QMZ82_RS09220,174.3362656,160.3574155,170.2642534,252.6656311,214.9319414,212.8104562,306.5879425,222.7002136,320.2095116,170.9804953,189.5337245,259.2450095,0,0,0,418.2814176,374.8234397,412.712245
gene-QMZ82_RS09225,10.17770734,38.65985313,29.42670765,20.76011866,19.71922405,27.37687279,30.23915661,13.14551172,50.39373537,47.43194753,50.69527469,42.92461318,0,0,0,18.69839332,29.22080729,29.61312521
gene-QMZ82_RS09230,213.0368714,213.623706,193.0570906,224.4122129,224.9993396,243.42141,411.4491793,237.2367614,340.7341065,159.213622,117.993537,179.7947774,0,0,0,478.2437084,444.8302203,331.1750372
gene-QMZ82_RS09235,431.871259,376.8883621,353.7179913,382.0894057,429.2910476,443.3494476,830.7119702,551.4861565,740.6841118,284.2938393,293.134941,276.2104518,0,0,0,845.7127697,955.7233133,871.2730048
gene-QMZ82_RS09240,8.635173682,1.192878277,0,10.38275959,6.432768003,5.443601068,13.42153824,5.797540491,7.965253362,2.963504918,1.952230652,9.386617694,0,0,0,9.331799693,13.87462993,33.33925565
gene-QMZ82_RS09245,24.57471067,32.95660566,28.30926844,33.0962035,17.59636091,22.01162661,58.07183409,39.48120223,43.66405053,23.7789154,28.83698551,20.54111854,0,0,0,44.62665663,37.08078243,50.15838687
